1,Psalmody,64.142.16.130,42:85:60:B0:14:4D
2,Eleventeen,123.96.230.153,22:B4:F4:8A:14:CF
3,Fumatorium,129.195.241.190,F2:39:E5:C3:89:65
4,PliabUmlaut,194.24.18.42,1E:72:5F:AC:5A:FF
5,Sc4mNene,59.32.52.19,8E:F2:B2:32:20:B0
6,Perspicacity,215.116.228.150,82:F8:BC:76:BC:66
7,Galactoid,201.43.121.242,C2:18:70:FC:81:AA
8,Absquatulate,202.224.169.182,F2:40:0D:B0:F4:5D
9,Associative,34.60.104.143,92:F0:EE:77:05:E9
10,Convivial,228.182.130.137,AA:C2:83:E4:62:F9
11,The_wafEmesis,253.2.91.47,F2:95:14:30:F0:50
12,Sprinkles,244.17.244.25,32:D7:10:A1:7F:BB
13,Fastidious,223.171.54.154,3E:A9:01:69:EE:AC
14,Callipygian,17.107.189.40,CA:A0:EC:48:1A:45
15,Volupty,192.240.118.128,4A:F9:75:F6:C1:95
16,Gargoyle,37.142.59.58,E6:F8:38:D3:81:A3
17,Lautitious,113.189.74.136,6E:AB:C2:1B:E4:E9
18,Billingsgate,8.164.223.152,C6:72:99:47:41:AA
19,Acarpous,187.115.42.10,1A:76:EA:0F:17:8B
20,Lkjhgfdsa,17.167.12.251,72:DA:F7:73:9D:77
21,Comephorous,237.100.7.243,86:AC:31:BE:83:78
22,Jactation,227.117.102.236,4E:E7:37:DD:AE:21
23,Hygrograph,8.234.125.174,D2:01:D3:70:5F:36
24,Baksheesh,69.186.21.192,D2:35:36:C0:21:AA
25,Opsiometer,199.123.245.236,72:12:3A:71:DF:FB
26,Blogosphere,63.213.65.178,76:B2:99:26:DF:A2
27,Roundelay,13.242.239.121,B2:5A:CD:93:17:C5
28,Phantonym,68.230.205.94,B6:FC:91:8B:68:5C
29,Plangency,166.181.228.159,AE:58:44:E1:FA:FA
30,WkjamesSambur,79.236.170.233,8A:FE:C7:E9:C3:78
31,RotorAlbe,172.51.61.66,5E:1A:23:59:D0:C4
32,Curlicue,12.224.64.138,8E:7E:BF:14:68:0E
33,Ciconine,245.132.205.58,02:23:94:F1:6D:6F
34,Loggerhead,102.151.186.0,6A:9E:3B:51:DD:8F
35,Wiseacre,181.137.76.153,5A:0D:F5:F5:DD:FF
36,Gadzooks,12.227.4.70,06:F8:04:98:85:43
37,GagabResile,22.172.41.119,3A:66:52:8B:C2:A1
38,Svengali,206.206.26.38,66:D8:39:CD:F7:7D
39,Mnemonic,78.5.211.250,66:F9:E3:64:21:4D
40,LiualUnau,43.147.176.5,56:44:8A:69:37:34
41,Woodmeal,10.145.90.15,CE:DF:51:06:DA:09
42,Wigwam,132.77.18.122,8A:A3:ED:83:49:56
43,Echoism,27.54.191.55,6E:2A:F7:AF:02:15
44,Fishwife,52.55.233.202,52:51:68:31:8B:81
45,Rhipidate,99.197.111.15,0A:B3:41:E1:2F:2B
46,Flapdoodle,135.162.217.62,7E:1D:F8:30:8B:40
47,Dyslogia,25.43.112.51,A6:19:D7:8D:A4:EF
48,Viper,230.17.35.238,EA:3B:89:C9:FB:76
49,Oliopan493,117.54.105.114,56:C3:A0:8B:36:67
50,Whodunit,97.45.116.23,E6:B1:A7:D0:AA:7F
51,Zealous,200.131.35.196,EE:0E:4A:C2:21:AB
52,Ranivorous,47.250.207.135,FA:D2:16:06:79:E4
53,Clientage,213.71.104.49,EA:42:9F:68:74:CC
54,Samovar,26.32.233.153,3E:1D:A8:D7:B7:7F
55,Piscatology,248.226.174.138,EE:F7:CB:40:87:23
56,Mojo,3.148.161.25,AE:9F:06:5F:AC:F8
57,Trillium,159.66.155.150,96:19:B6:01:90:4B
58,Besom,159.104.14.50,66:11:55:E7:D8:B9
59,Turophile,110.199.160.85,42:E7:DC:6E:C2:70
60,Anemone,20.49.171.77,2E:49:B0:C5:C5:68
61,Rhamphoid,11.155.235.193,4E:A3:01:4D:C8:37
62,Bumfuzzle,112.191.39.55,E2:69:97:56:DD:C6
63,Chromemegs,173.177.210.182,32:A6:2E:B4:A0:52
64,Purdah,225.174.126.69,EA:B4:A5:E4:34:64
65,Duarchy,69.131.72.66,5A:23:82:B6:D1:CF
66,Pomposity,252.174.22.2,C6:5C:9A:19:90:26
67,Osteoid,196.142.147.124,72:3A:1E:B4:FB:80
68,Blindside,63.183.90.135,A6:90:F4:6D:22:92
69,Gangplank,168.209.213.30,06:58:85:F4:B1:09
70,Champu,237.187.173.174,02:B1:C4:7F:FF:94
71,Hormeglucky5,130.123.217.187,BA:EE:CB:06:21:EC
72,Glabella,147.164.65.117,A2:81:6B:BA:29:32
73,Polygenous,68.81.188.241,9E:E2:52:90:B6:F6
74,Heyday,76.100.152.115,AE:8D:2E:93:56:63
75,Signate,17.40.232.230,52:92:74:48:FE:55
76,Turducken,36.28.175.91,BA:77:24:3F:DE:A7
77,Apportyer88,61.149.173.179,1A:0B:79:3D:93:9E
78,Colossus,9.239.180.129,D6:90:22:47:D3:47
79,Pejorism,205.122.202.239,A6:B8:4E:36:BB:8C
80,Flimflam,121.173.192.92,16:D9:71:25:3D:9E
81,Thyrsus,247.47.139.54,7A:1D:47:62:22:EA
82,A_wallVolvox,89.232.64.82,DA:E7:DF:F4:3F:F8
83,Dysphagia,147.206.237.177,42:F3:53:1F:B5:06
84,Crackerjack,220.57.64.160,BE:11:1B:4C:06:5B
85,Jactitation,20.27.218.169,82:37:EC:5E:D8:53
86,Snorkel,4.107.60.27,96:9A:F7:EA:3A:AE
87,Navette,49.1.65.235,62:73:81:8C:B5:F5
88,Supercilious,86.221.188.155,A6:58:3E:B9:98:DE
89,Oikonisus,90.245.18.56,2E:C1:9B:0D:03:A0
90,Sialoquent,162.50.186.52,26:5C:6B:A9:61:17
91,Personalia,208.83.175.70,6E:A2:F2:F1:E6:B2
92,Hobnobbed,78.241.207.94,6A:94:3E:D1:86:4C
93,Ant97mesOribi,108.172.179.104,66:9D:25:2F:53:25
94,StarrypawzDither,38.48.96.45,96:6D:DD:F6:14:4F
95,Moriform,86.221.171.89,62:E7:94:22:38:2B
96,Heirloom,154.238.241.43,52:6D:3B:8C:47:A7
97,Odontalgia,49.42.8.212,C6:3D:8C:0F:59:AD
98,HomurLoco,223.64.72.49,92:AB:00:F3:94:BD
99,Flagelliform,194.87.244.86,26:59:00:D7:4E:7E
100,TigonLoofah,244.251.220.94,62:BE:5A:0F:B8:7A
